district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,number_of_employees_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek
RANGAREDDY,FAROOQNAGAR,RAIKAL,BIRLA METALS & ALLOYS LLP,"INDUSTRIES ENGAGED IN RECYCLING /REPROCESSING/ RECOVERY/REUSE OFHAZARDOUS WASTE UNDER SCHEDULE IV OF HW{ M, H& TBM) RULES, 2008 -ITEMS NAMELY -LEAD ACID BATTERY PLATES AND OTHERLEAD SCRAP/ASHES/RESIDUES NOTCOVERED UNDER BATTERIES (MANAGEMENT AND HANDLING) RULES, 2001. [ * BATTERY SCRAP, NAMELY:LEAD BATTERY PLATES COVERED BY ISRI, CODE WORD ""RAILS"" BATTERY LUGSCOVERED BY ISR1, CODE WORD ""RAKES"". SCRAP DRAINED/DRY WHILE INTACT, LEAD BATTERIES COVERED BY ISRI, CODE WORD ""RAINS"".",PHARMACEUTICALS AND CHEMICALS,5.72725,2,2025-07-25,,YET TO START CONSTRUCTION,YES,GENERAL,2.158717086161625,9,19,19,19,13,10,8,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000005,0,0,0,2025,7,25,4,,,,,1970,1,1,3,1970,1,1,3
NIRMAL,KADDAM (PEDDUR),BELLAL,M/S. VAYUPUTRA RAW RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.75,12,2025-08-08,,YET TO START CONSTRUCTION,YES,OBC,-0.47794693094837976,11,20,20,20,7,1,6,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000005,0,0,1,2025,8,8,4,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,BOWRAMPET,LUVIT INTERIOR DESIGN STUDIO,ALUMINIUM UTENSILS FROM ALUMINIUM CIRCLES BY PRESSING ONLY (DRY MECHANICAL OPERATION),ENGINEERING,0.1,10,2025-08-23,,YET TO START CONSTRUCTION,YES,OBC,-0.8222799684935107,3,15,21,21,14,5,9,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000005,0,0,1,2025,8,23,5,,,,,1970,1,1,3,1970,1,1,3
MAHABUBABAD,KESAMUDRAM,TALLAPOOSAPALLE,M/S GREEN FIELD AGRO INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.15,9,2025-08-06,,YET TO START CONSTRUCTION,YES,OBC,-0.26604967707445304,6,21,22,22,7,1,12,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000005,0,0,1,2025,8,6,2,,,,,1970,1,1,3,1970,1,1,3
NALGONDA,NARKETPALLE,THONDALVAI,M/S. SRI SHIVA SAI VINAYAKA RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.7,15,2025-08-23,,YET TO START CONSTRUCTION,YES,GENERAL,-0.5044340876826207,8,22,23,23,7,1,13,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000005,0,0,0,2025,8,23,5,,,,,1970,1,1,3,1970,1,1,3
BHUPALPALLY,CHITYAL,NAIN PAKA,M/S SUVEN AGRO INDUSTRIES PRIVATE LIMITED,VEGETABLE OIL MANUFACTURING SOLVENT EXTRACTION AND REFINERY /HYDROGENATED OILS,FOOD PROCESSING,5.72725,50,2025-08-12,,YET TO START CONSTRUCTION,YES,GENERAL,2.158717086161625,12,23,24,24,15,1,14,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000005,0,0,0,2025,8,12,1,,,,,1970,1,1,3,1970,1,1,3
SANGAREDDY,JINNARAM,ALINAGAR,M/S SD ENTERPRISES,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,4.5,10,2024-05-04,,YET TO START CONSTRUCTION,YES,GENERAL,1.5085898241196838,13,24,25,25,5,5,9,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000006,0,0,0,2024,5,4,5,,,,,1970,1,1,3,1970,1,1,3
VIKARABAD,PUDUR,MANNEGUDA (SARECAS),KU-DAS PIPES AND FITTINGS,RUBBER GOODS INDUSTRY (WITH GAS OPERATED BABY BOILER),PLASTIC AND RUBBER,0.223,10,2025-08-21,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7571215629272782,4,25,26,26,16,11,9,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000006,0,0,0,2025,8,21,3,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,BHAGYANAGAR STEEL INDUSTRIES,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.55,10,2025-07-24,,YET TO START CONSTRUCTION,YES,OBC,-0.5838955578853431,3,15,15,27,5,5,9,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000006,0,0,1,2025,7,24,3,,,,,1970,1,1,3,1970,1,1,3
WARANGAL,GEESUGONDA,GORREKUNTA (RURAL),""" M/S KAVYA POLYMERS",POLYTHENE AND PLASTIC PROCESSED PRODUCTS MANUFACTURING(VIRGIN PLASTIC),PLASTIC AND RUBBER,0.33,9,2025-08-19,,YET TO START CONSTRUCTION,YES,OBC,-0.7004390475160028,10,18,18,28,17,11,12,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000006,0,0,1,2025,8,19,1,,,,,1970,1,1,3,1970,1,1,3
